lead_day,domain,threshold,model,categorical_forecast_source,categorical_event_rule,probabilistic_score_source,bss_reference,n_init,n_samples,n_events,base_rate,H,M,F,CN,POD,FAR,CSI,brier_score,bs_climatology,brier_skill_score,sum_squared_error,sum_clim_squared_error
Day4,CONUS,2yr24h_ari,raw_GEFS,ensemble_mean,mean_precipitation_ge_threshold,exceedance_probability,historical_mrms_event_frequency_climatology_2020_2025_monthly_24h_12z12z,35,446355,799,0.0017900550010641755,0,799,0,445556,0.0,,0.0,0.001806481265991243,0.0017926291711907964,-0.0077272505786820656,806.3319454815212,800.1489937068679
Day5,CONUS,2yr24h_ari,ANN-CSGD,distributional_mean,mean_precipitation_ge_threshold,exceedance_probability,historical_mrms_event_frequency_climatology_2020_2025_monthly_24h_12z12z,34,433602,745,0.0017181655066166668,0,745,0,432857,0.0,,0.0,0.0017388156878867503,0.0017209902791899088,-0.010357646357672667,753.9539598990707,746.2248270373028
Day5,CONUS,2yr24h_ari,raw_GEFS,ensemble_mean,mean_precipitation_ge_threshold,exceedance_probability,historical_mrms_event_frequency_climatology_2020_2025_monthly_24h_12z12z,34,433602,745,0.0017181655066166668,0,745,0,432857,0.0,,0.0,0.001745497474808471,0.0017209902791899088,-0.014240170856803402,756.8511960719026,746.2248270373028
Day6,CONUS,2yr24h_ari,ANN-CSGD,distributional_mean,mean_precipitation_ge_threshold,exceedance_probability,historical_mrms_event_frequency_climatology_2020_2025_monthly_24h_12z12z,27,344331,657,0.0019080477796074127,0,657,0,343674,0.0,,0.0,0.0019252102542527145,0.0019103425784660147,-0.007782727534994427,662.9095720570914,657.7901703857813
Day6,CONUS,2yr24h_ari,raw_GEFS,ensemble_mean,mean_precipitation_ge_threshold,exceedance_probability,historical_mrms_event_frequency_climatology_2020_2025_monthly_24h_12z12z,27,344331,657,0.0019080477796074127,0,657,0,343674,0.0,,0.0,0.0019208944787451224,0.0019103425784660147,-0.0055235644109343784,661.4235167607867,657.7901703857813
Day7,CONUS,2yr24h_ari,ANN-CSGD,distributional_mean,mean_precipitation_ge_threshold,exceedance_probability,historical_mrms_event_frequency_climatology_2020_2025_monthly_24h_12z12z,27,344331,668,0.0019399937850498503,0,668,0,343663,0.0,,0.0,0.0019531937759750253,0.0019419946866340958,-0.005766797107122912,672.5451660752565,668.6889724434049
Day7,CONUS,2yr24h_ari,raw_GEFS,ensemble_mean,mean_precipitation_ge_threshold,exceedance_probability,historical_mrms_event_frequency_climatology_2020_2025_monthly_24h_12z12z,27,344331,668,0.0019399937850498503,0,668,0,343663,0.0,,0.0,0.0019494648628519292,0.0019419946866340958,-0.0038466512134391895,671.2611856906676,668.6889724434049
Day1,CONUS,5yr24h_ari,ANN-CSGD,distributional_mean,mean_precipitation_ge_threshold,exceedance_probability,historical_mrms_event_frequency_climatology_2020_2025_monthly_24h_12z12z,38,505438,343,0.0006786193361005702,0,343,0,505095,0.0,,0.0,0.0012509301622269343,0.0006804834467551812,-0.8382962409914194,632.2676393356572,343.9421923610453
Day1,CONUS,5yr24h_ari,raw_GEFS,ensemble_mean,mean_precipitation_ge_threshold,exceedance_probability,historical_mrms_event_frequency_climatology_2020_2025_monthly_24h_12z12z,38,505438,343,0.0006786193361005702,2,341,2,505093,0.0058309037900874635,0.5,0.005797101449275362,0.0006947354205867262,0.0006804834467551812,-0.02094389496100768,351.1456815105137,343.9421923610453
Day2,CONUS,5yr24h_ari,ANN-CSGD,distributional_mean,mean_precipitation_ge_threshold,exceedance_probability,historical_mrms_event_frequency_climatology_2020_2025_monthly_24h_12z12z,37,492137,316,0.0006420976272867109,0,316,0,491821,0.0,,0.0,0.0017647218097884252,0.0006440542008362114,-1.7400206496552446,868.4848973038462,316.9629022369306
Day2,CONUS,5yr24h_ari,raw_GEFS,ensemble_mean,mean_precipitation_ge_threshold,exceedance_probability,historical_mrms_event_frequency_climatology_2020_2025_monthly_24h_12z12z,37,492137,316,0.0006420976272867109,0,316,0,491821,0.0,,0.0,0.0006570317523924712,0.0006440542008362114,-0.02014978171000248,323.34963552717363,316.9629022369306
Day3,CONUS,5yr24h_ari,ANN-CSGD,distributional_mean,mean_precipitation_ge_threshold,exceedance_probability,historical_mrms_event_frequency_climatology_2020_2025_monthly_24h_12z12z,36,478836,310,0.0006474032863026172,0,310,0,478526,0.0,,0.0,0.0006475900560014371,0.0006494574595745013,0.0028753285462109757,310.0894320555041,310.9836121128159
Day3,CONUS,5yr24h_ari,raw_GEFS,ensemble_mean,mean_precipitation_ge_threshold,exceedance_probability,historical_mrms_event_frequency_climatology_2020_2025_monthly_24h_12z12z,36,478836,310,0.0006474032863026172,0,310,1,478525,0.0,1.0,0.0,0.000651740894328783,0.0006494574595745013,-0.0035159111972902224,312.0770028768171,310.9836121128159
